   , Brunei Darussalam , Indonesia , Malaysia , Philippines , Thailand , Viet Nam , Myanmar , Japan , Hong Kong , China , Taiwan ," Korea, Republic Of ", India , Pakistan , Sri Lanka , Saudi Arabia , Kuwait , UAE , United Kingdom , Germany , France , Italy , Netherlands , Greece , Belgium & Luxembourg , Switzerland , Austria , Scandinavia , CIS & Eastern Europe , USA , Canada , Australia , New Zealand , Africa 
 1983 Sep , na , na , na , na , na , na , na ,"29,326","6,936",236,"4,158","3,288","14,996","1,082","1,966","2,333",147,850,"11,644","5,087","2,836","1,437","3,572", na ,617,"1,717", na ,"2,396",525,"12,744","1,716","24,313","6,266","1,188"
 1983 Oct , na , na , na , na , na , na , na ,"29,194","6,450",248,"4,545","3,216","14,132","1,098","2,203","1,002",152,543,"13,024","6,185","2,987","1,680","3,398", na ,943,"2,369", na ,"3,610",455,"19,019","2,665","22,792","5,433","1,128"
 1983 Nov , na , na , na , na , na , na , na ,"31,332","6,262",264,"5,505","2,736","12,927","1,401","2,086","1,181",171,613,"13,480","6,896","2,962","1,898","3,130", na ,790,"2,560", na ,"4,307",493,"15,948","2,950","18,031","3,712","1,045"
 1983 Dec , na , na , na , na , na , na , na ,"27,182","7,330",376,"5,761","3,040","14,173","1,568","2,538","1,715",138,883,"13,361","5,546","2,513","1,684","2,955", na ,705,"2,445", na ,"3,383",568,"12,123","2,218","22,322","4,151","1,663"
 1984 Jan , na , na , na , na , na , na , na ,"29,688","6,882",342,"4,761","2,754","14,758","1,658","2,236","2,464",179,685,"14,484","5,837","2,800","2,094","3,356", na ,678,"2,703", na ,"3,668",628,"12,659","2,563","26,441","4,108","1,644"
 1984 Feb , na , na , na , na , na , na , na ,"29,870","10,968",287,"9,041","2,528","13,476","1,598","1,741","1,361",267,524,"13,618","5,685","3,046","1,701","2,959", na ,737,"2,573", na ,"3,557",727,"13,587","2,415","15,901","2,643",888
 1984 Mar , na , na , na , na , na , na , na ,"36,480","6,814",253,"7,112","3,095","13,413","1,751","2,519","1,546",238,720,"14,301","6,978","3,415","2,210","2,904", na ,716,"2,337", na ,"3,684",652,"15,654","2,542","17,520","3,508",934
 1984 Apr , na , na , na , na , na , na , na ,"25,717","8,039",287,"6,118","2,968","14,602","1,681","2,176","1,805",436,806,"12,867","7,822","3,292","2,014","3,442", na ,868,"2,375", na ,"3,639",713,"13,846","2,132","20,890","4,029","1,020"
 1984 May , na , na , na , na , na , na , na ,"28,791","6,975",337,"6,206","3,004","20,049","1,477","2,016","1,270",224,624,"10,737","5,144","3,215","1,757","3,247", na ,810,"2,023", na ,"3,049",674,"16,648","2,140","26,860","5,217","1,077"
 1984 Jun , na , na , na , na , na , na , na ,"26,819","7,289",408,"5,318","3,511","16,308","1,373","1,839","1,622",226,727,"9,380","3,879","2,863","1,692","2,599", na ,490,"1,436", na ,"2,378",599,"14,252","1,940","25,808","5,310",908
 1984 Jul , na , na , na , na , na , na , na ,"28,958","10,090",377,"9,073","3,060","17,539","2,038","1,838","2,743",307,936,"11,655","5,425","4,387","2,153","4,757", na ,"1,216","2,474", na ,"2,621",654,"13,603","2,207","25,925","6,545","1,133"
 1984 Aug , na , na , na , na , na , na , na ,"43,327","12,989",412,"7,899","3,037","15,154","1,582","2,221","2,282",259,802,"12,741","6,042","5,411","3,927","3,992", na ,867,"1,960", na ,"2,530",790,"13,030","1,968","30,686","8,141","1,228"
 1984 Sep , na , na , na , na , na , na , na ,"29,810","7,172",587,"5,448","2,761","16,576","1,249","2,413","1,924",209,595,"11,320","5,267","3,471","1,646","3,642", na ,750,"1,727", na ,"2,753",726,"13,610","1,633","28,651","6,127","1,281"
 1984 Oct , na , na , na , na , na , na , na ,"29,566","6,784",460,"5,388","3,007","18,523","1,648","2,429","1,297",204,538,"13,290","6,882","3,804","2,039","3,480", na ,851,"2,718", na ,"4,304",871,"19,295","2,560","25,549","5,288","1,027"
 1984 Nov , na , na , na , na , na , na , na ,"30,340","6,661",526,"6,692","3,223","15,409","1,565","1,833","1,415",204,581,"13,444","7,540","3,550","2,098","2,875", na ,854,"2,615", na ,"4,571",954,"16,636","2,639","23,141","4,202",933
 1984 Dec , na , na , na , na , na , na , na ,"30,168","7,879",670,"7,214","2,926","16,861","1,466","2,420","2,100",339,732,"12,338","6,286","2,953","2,306","2,902", na ,807,"2,915", na ,"4,048",651,"14,063","2,180","23,769","3,759","1,442"
 1985 Jan , na , na , na , na , na , na , na ,"30,654","6,032",670,"5,575","2,840","18,435","1,962","2,028","1,728",268,640,"13,252","6,074","2,622","2,576","3,227", na ,776,"3,170", na ,"4,215",641,"13,557","2,676","30,840","4,129",966
 1985 Feb , na , na , na , na , na , na , na ,"30,455","12,017",504,"10,103","2,342","14,859","1,626","1,973","2,090",344,489,"12,762","6,012","3,063","2,357","3,008", na ,702,"2,683", na ,"3,677","1,029","13,388","3,157","18,077","2,708",628
 1985 Mar , na , na , na , na , na , na , na ,"39,595","7,513",698,"7,570","2,607","16,223","1,627","2,216","1,837",283,655,"16,929","7,986","3,772","2,070","3,485", na ,759,"2,863", na ,"4,667","1,093","16,755","3,035","20,781","3,644",920
 1985 Apr , na , na , na , na , na , na , na ,"26,835","7,383",485,"5,772","2,526","13,534","1,663","2,590","1,528",217,682,"13,631","6,523","3,554","1,812","3,165", na ,752,"2,721", na ,"4,220",896,"13,598","2,553","21,721","4,264",830
 1985 May , na , na , na , na , na , na , na ,"29,726","6,180",727,"5,970","2,536","19,821","1,717","2,038","1,475",183,626,"11,331","5,321","3,269","1,698","2,978", na ,718,"2,309", na ,"3,349",815,"15,822","2,405","26,843","5,495",963
 1985 Jun , na , na , na , na , na , na , na ,"28,613","7,397",719,"5,357","2,337","17,496","1,449","1,872","2,016",218,560,"9,571","4,350","2,678","1,555","3,053", na ,587,"1,870", na ,"2,933",572,"13,329","1,960","25,801","4,873",957
 1985 Jul , na , na , na , na , na , na , na ,"32,045","10,368",977,"8,103","2,464","17,349","2,234","1,751","2,368",305,856,"12,370","5,649","4,191","2,085","5,114", na ,"1,125","2,603", na ,"3,104",702,"15,657","2,584","27,202","5,839","1,156"
 1985 Aug , na , na , na , na , na , na , na ,"41,768","12,507",800,"8,858","2,836","19,684","1,644","1,905","2,333",344,886,"13,574","6,100","4,883","4,284","3,635", na ,967,"2,050", na ,"2,620",834,"13,872","2,310","29,119","6,947","1,467"
 1985 Sep , na , na , na , na , na , na , na ,"30,147","7,040",769,"6,734","2,317","20,754","1,590","1,750","1,313",199,464,"12,004","5,545","3,205","1,721","3,603", na ,786,"2,066", na ,"3,178",822,"12,330","1,933","29,276","6,206","1,467"
 1985 Oct , na , na , na , na , na , na , na ,"25,149","6,900",859,"5,503","2,623","23,260","1,757","2,114","1,183",239,434,"14,185","6,695","3,799","1,848","3,530", na ,904,"3,167", na ,"4,446","1,203","18,180","2,989","26,611","5,309","1,295"
 1985 Nov , na , na , na , na , na , na , na ,"31,168","6,367",873,"6,112","2,844","19,309","1,859","2,254","1,145",216,432,"14,431","7,387","3,493","2,072","2,972", na ,812,"3,388", na ,"4,470","1,541","17,291","3,013","20,505","4,296","1,224"
 1985 Dec , na , na , na , na , na , na , na ,"31,531","7,955",919,"7,104","2,525","17,764","1,788","2,707","1,888",252,623,"14,409","6,241","2,907","1,897","2,749", na ,645,"3,359", na ,"4,507","1,183","12,481","2,413","24,049","3,742","1,171"
 1986 Jan , na , na , na , na , na , na , na ,"33,048","6,433",991,"5,903","2,635","19,392","2,104","2,057","2,473",422,713,"15,101","7,965","3,302","2,795","3,628", na ,788,"3,763", na ,"5,126","1,023","14,093","2,891","30,773","4,531","1,068"
 1986 Feb , na , na , na , na , na , na , na ,"35,013","11,379",708,"10,188","2,164","16,898","1,639","1,640","1,190",191,464,"14,500","6,390","3,412","2,272","3,205", na ,657,"2,815", na ,"4,582","1,413","12,995","2,765","17,010","2,810",996
 1986 Mar , na , na , na , na , na , na , na ,"38,628","7,914",746,"7,321","2,532","16,215","2,067","1,921","1,792",256,712,"18,984","8,454","3,345","2,732","3,301", na ,"1,120","3,080", na ,"5,300","1,427","15,550","3,275","22,614","3,739","1,131"
 1986 Apr , na , na , na , na , na , na , na ,"28,782","6,603",698,"6,267","2,284","17,441","1,813","2,226","1,592",248,689,"14,724","6,521","3,117","2,047","3,354", na ,688,"2,862", na ,"4,425","1,173","14,336","2,420","23,443","4,173","1,189"
 1986 May , na , na , na , na , na , na , na ,"27,719","6,397",800,"6,653","2,657","21,485","1,764","2,324",975,182,523,"12,360","4,956","3,283","1,740","2,987", na ,876,"2,774", na ,"3,558","1,440","14,195","2,129","27,530","4,999","1,504"
 1986 Jun , na , na , na , na , na , na , na ,"27,376","7,477",958,"5,584","2,394","20,174","1,713","1,919","2,077",317,879,"10,130","3,922","2,882","1,402","3,183", na ,541,"1,935", na ,"3,312","1,180","14,846","1,973","28,052","5,014","1,151"
 1986 Jul , na , na , na , na , na , na , na ,"32,206","10,914","1,210","12,398","2,279","19,790","2,761","2,356","2,286",326,"1,320","12,576","5,910","4,272","2,396","5,037", na ,"1,245","3,104", na ,"3,407","1,149","15,804","2,456","28,140","5,712","1,129"
 1986 Aug , na , na , na , na , na , na , na ,"48,866","14,203","1,324","10,479","2,860","22,136","2,322","2,643","2,435",339,"1,212","14,783","6,890","5,931","5,474","4,023", na ,894,"2,337", na ,"2,962","1,117","14,420","2,354","31,533","8,009","1,527"
 1986 Sep , na , na , na , na , na , na , na ,"33,880","8,072","1,026","7,560","2,370","22,106","2,413","2,622",839,172,640,"11,241","5,193","3,148","1,960","3,646", na ,718,"2,431", na ,"3,406","1,503","16,593","1,862","32,287","7,159","1,599"
